"year","n_shared","pair","dataset_a","dataset_b","label_a","label_b"
2013,600,"IHGEM_vs_PFAS","IHGEM","PFAS","Mercury: Inorganic, Ethyl & Methyl (Blood)","PFAS (Serum)"
2015,536,"IHGEM_vs_PFAS","IHGEM","PFAS","Mercury: Inorganic, Ethyl & Methyl (Blood)","PFAS (Serum)"
2017,2133,"IHGEM_vs_PFAS","IHGEM","PFAS","Mercury: Inorganic, Ethyl & Methyl (Blood)","PFAS (Serum)"
2007,2294,"IHGEM_vs_PFC","IHGEM","PFC","Mercury: Inorganic, Ethyl & Methyl (Blood)","Polyfluoroalkyl Chemicals (Serum)"
2009,2432,"IHGEM_vs_PFC","IHGEM","PFC","Mercury: Inorganic, Ethyl & Methyl (Blood)","Polyfluoroalkyl Chemicals (Serum)"
2011,2177,"IHGEM_vs_PFC","IHGEM","PFC","Mercury: Inorganic, Ethyl & Methyl (Blood)","Polyfluoroalkyl Chemicals (Serum)"
2013,511,"IHGEM_vs_SSPFAS","IHGEM","SSPFAS","Mercury: Inorganic, Ethyl & Methyl (Blood)","PFAS Surplus (Serum)"
2017,1672,"IHGEM_vs_SSPFAS","IHGEM","SSPFAS","Mercury: Inorganic, Ethyl & Methyl (Blood)","PFAS Surplus (Serum)"
2013,600,"PBCD_EXT_vs_PFAS","PBCD_EXT","PFAS","Cadmium, Lead, Hg, Se & Mn (Blood)","PFAS (Serum)"
2015,536,"PBCD_EXT_vs_PFAS","PBCD_EXT","PFAS","Cadmium, Lead, Hg, Se & Mn (Blood)","PFAS (Serum)"
2017,2133,"PBCD_EXT_vs_PFAS","PBCD_EXT","PFAS","Cadmium, Lead, Hg, Se & Mn (Blood)","PFAS (Serum)"
2011,2177,"PBCD_EXT_vs_PFC","PBCD_EXT","PFC","Cadmium, Lead, Hg, Se & Mn (Blood)","Polyfluoroalkyl Chemicals (Serum)"
2013,511,"PBCD_EXT_vs_SSPFAS","PBCD_EXT","SSPFAS","Cadmium, Lead, Hg, Se & Mn (Blood)","PFAS Surplus (Serum)"
2017,1672,"PBCD_EXT_vs_SSPFAS","PBCD_EXT","SSPFAS","Cadmium, Lead, Hg, Se & Mn (Blood)","PFAS Surplus (Serum)"
2013,2339,"PFAS_vs_PHTHTE","PFAS","PHTHTE","PFAS (Serum)","Phthalates & Plasticizers (Urine)"
2015,2170,"PFAS_vs_PHTHTE","PFAS","PHTHTE","PFAS (Serum)","Phthalates & Plasticizers (Urine)"
2017,2133,"PFAS_vs_PHTHTE","PFAS","PHTHTE","PFAS (Serum)","Phthalates & Plasticizers (Urine)"
2015,2170,"PFAS_vs_UPHOPM","PFAS","UPHOPM","PFAS (Serum)","Pyrethroids, Herbicides & OP Metabolites (Urine)"
2011,2177,"PFC_vs_PHTHTE","PFC","PHTHTE","Polyfluoroalkyl Chemicals (Serum)","Phthalates & Plasticizers (Urine)"
2013,1954,"SSPFAS_vs_PHTHTE","SSPFAS","PHTHTE","PFAS Surplus (Serum)","Phthalates & Plasticizers (Urine)"
2017,1672,"SSPFAS_vs_PHTHTE","SSPFAS","PHTHTE","PFAS Surplus (Serum)","Phthalates & Plasticizers (Urine)"
