"","PBCD_EXT","IHGEM","UHG","PFAS","VOCWB","VOC_TTHM","PHTHTE","PERNT","OPD","UPHOPM","UVOC","SSUVCM","ALB_CR"
"PBCD_EXT",5815,5815,3279,536,3394,3394,1571,3279,1571,1571,3279,2070,5258
"IHGEM",5815,5815,3279,536,3394,3394,1571,3279,1571,1571,3279,2070,5258
"UHG",3279,3279,3279,0,2284,2284,587,3279,587,587,3279,1942,3279
"PFAS",536,536,0,2170,536,536,2170,0,2170,2170,0,251,2170
"VOCWB",3394,3394,2284,536,3394,3394,536,2284,536,536,2284,2070,3394
"VOC_TTHM",3394,3394,2284,536,3394,3394,536,2284,536,536,2284,2070,3394
"PHTHTE",1571,1571,587,2170,536,536,3205,587,3205,3205,587,251,3205
"PERNT",3279,3279,3279,0,2284,2284,587,3279,587,587,3279,1942,3279
"OPD",1571,1571,587,2170,536,536,3205,587,3205,3205,587,251,3205
"UPHOPM",1571,1571,587,2170,536,536,3205,587,3205,3205,587,251,3205
"UVOC",3279,3279,3279,0,2284,2284,587,3279,587,587,3279,1942,3279
"SSUVCM",2070,2070,1942,251,2070,2070,251,1942,251,251,1942,2462,2462
"ALB_CR",5258,5258,3279,2170,3394,3394,3205,3279,3205,3205,3279,2462,8608
